mes,val_geracao
2000-01-01,39748.95826612903
2000-02-01,41143.64238505747
2000-03-01,40954.94270623656
2000-04-01,40590.80069444444
2000-05-01,40521.97688172043
2000-06-01,39985.1275
2000-07-01,39018.91979838709
2000-08-01,40047.18427419355
2000-09-01,40640.307375
2000-10-01,42452.58418519516
2000-11-01,41505.840445277776
2000-12-01,40671.50516545699
2001-01-01,42184.37322741935
2001-02-01,43713.8228125
2001-03-01,43936.26864247312
2001-04-01,42397.33794444444
2001-05-01,39259.39797043011
2001-06-01,32999.933625
2001-07-01,32808.25563172043
2001-08-01,33195.2672983871
2001-09-01,32905.46611111111
2001-10-01,34558.14846433378
2001-11-01,34729.266027777776
2001-12-01,34754.221209677424
2002-01-01,36007.472903225804
2002-02-01,37668.92907738096
2002-03-01,39919.53170698925
2002-04-01,40694.96457375
2002-05-01,39108.74635349462
2002-06-01,38780.62291402778
2002-07-01,38614.69699193548
2002-08-01,39779.20368387097
2002-09-01,39519.10030555556
2002-10-01,42245.3619047043
2002-11-01,41637.534603616135
2002-12-01,40934.72116935484
2003-01-01,41451.09025537634
2003-02-01,43469.85599702381
2003-03-01,41979.63370967742
2003-04-01,41764.34514444444
2003-05-01,40675.419708333335
2003-06-01,40451.90249861111
2003-07-01,40454.46483870968
2003-08-01,40521.76805107527
2003-09-01,41791.94563888889
2003-10-01,42729.2302153432
2003-11-01,42893.84959041666
2003-12-01,42670.94639784946
2004-01-01,42286.71659677419
2004-02-01,42943.0595545977
2004-03-01,44277.76532284946
2004-04-01,44016.29881944444
2004-05-01,43082.71708333334
2004-06-01,43032.464102777776
2004-07-01,43028.29117580645
2004-08-01,43829.98036424731
2004-09-01,45235.13231388888
2004-10-01,44420.067379032254
2004-11-01,45134.95647009736
2004-12-01,44861.15385752688
2005-01-01,45561.76258064516
2005-02-01,46401.413080357146
2005-03-01,47401.29790322581
2005-04-01,46762.47261111112
2005-05-01,44674.18068548387
2005-06-01,44841.502675
2005-07-01,43790.214637096775
2005-08-01,45500.81608198925
2005-09-01,45372.88012083333
2005-10-01,46397.03249259757
2005-11-01,46101.92753472222
2005-12-01,45993.63299193549
2006-01-01,47756.30985215054
2006-02-01,48706.94873214286
2006-03-01,49856.75680107527
2006-04-01,47008.91080555556
2006-05-01,46015.80753978495
2006-06-01,46049.15225
2006-07-01,46140.1
2006-08-01,47679.446370967744
2006-09-01,46985.105088888886
2006-10-01,47602.65890053764
2006-11-01,48269.56141863699
2006-12-01,48362.79666666666
2007-01-01,49191.047674731184
2007-02-01,49921.87599702381
2007-03-01,51983.426526881725
2007-04-01,50105.55747222222
2007-05-01,48576.42279569893
2007-06-01,48394.42853472223
2007-07-01,48858.59149327957
2007-08-01,50175.88418548387
2007-09-01,49769.45017777778
2007-10-01,51216.71541049798
2007-11-01,50571.20683333334
2007-12-01,50572.0363844086
2008-01-01,50905.43538978494
2008-02-01,51551.269396551725
2008-03-01,51969.57799731183
2008-04-01,51901.741472222224
2008-05-01,50438.49264784947
2008-06-01,51381.75230555555
2008-07-01,50280.00811827957
2008-08-01,51580.779919354834
2008-09-01,51408.53011111111
2008-10-01,52869.87834454912
2008-11-01,50827.923319444446
2008-12-01,48085.65786290323
2009-01-01,48815.13997459677
2009-02-01,51327.58313988095
2009-03-01,53009.51551075269
2009-04-01,49788.69151388889
2009-05-01,48802.93478494624
2009-06-01,48338.118858333335
2009-07-01,49424.39467741936
2009-08-01,49844.38369623656
2009-09-01,51310.25542333333
2009-10-01,51552.36690444145
2009-11-01,53983.601375000006
2009-12-01,52711.78747311828
2010-01-01,54167.68271370968
2010-02-01,57022.3522172619
2010-03-01,56843.24776881721
2010-04-01,53530.90631805556
2010-05-01,52705.68066639785
2010-06-01,52445.24768055556
2010-07-01,53313.26049731183
2010-08-01,53685.76854435484
2010-09-01,54746.94081944445
2010-10-01,54022.38110363391
2010-11-01,54720.41327777778
2010-12-01,55558.79857526882
2011-01-01,56416.63623655914
2011-02-01,59072.69976369048
2011-03-01,56833.85882123656
2011-04-01,56045.98256944445
2011-05-01,54469.39192204302
2011-06-01,54338.00265277777
2011-07-01,54817.16317204301
2011-08-01,57098.425940860216
2011-09-01,56768.69297222222
2011-10-01,56347.97518169583
2011-11-01,56840.02668055556
2011-12-01,57568.51559139785
2012-01-01,58013.83701478495
2012-02-01,61498.38794827586
2012-03-01,62215.64568682797
2012-04-01,59385.43610416666
2012-05-01,56918.99369354839
2012-06-01,54273.28341680555
2012-07-01,54332.32336962365
2012-08-01,57242.559843548384
2012-09-01,57939.18991944444
2012-10-01,59548.89912395693
2012-11-01,58136.44006
2012-12-01,60329.06389112903
2013-01-01,58205.222716397846
2013-02-01,61027.0679360119
2013-03-01,60111.65103225807
2013-04-01,58548.873320833336
2013-05-01,56164.70450551075
2013-06-01,55829.18658472222
2013-07-01,56678.89565860215
2013-08-01,58244.2734217742
2013-09-01,59148.63463791666
2013-10-01,60286.27464629879
2013-11-01,60520.18130972222
2013-12-01,58915.33027069893
2014-01-01,65489.62540330914
2014-02-01,65007.61807735119
2014-03-01,63326.67190114697
2014-04-01,60895.90782657304
2014-05-01,59982.89214952029
2014-06-01,58187.36556754762
2014-07-01,58477.183335703085
2014-08-01,58833.31988727609
2014-09-01,60975.44815832916
2014-10-01,62384.81587976621
2014-11-01,62010.05886055668
2014-12-01,61621.66529905137
2015-01-01,67201.5029246279
2015-02-01,65838.23634198264
2015-03-01,64965.019525134325
2015-04-01,59351.193381286736
2015-05-01,57955.775774286085
2015-06-01,56757.0008908748
2015-07-01,57132.98972503575
2015-08-01,58282.679203763175
2015-09-01,60482.79667731014
2015-10-01,62253.43456101166
2015-11-01,62176.58504255748
2015-12-01,62340.730170649134
2016-01-01,62551.65609304834
2016-02-01,66477.35689152298
2016-03-01,65033.17996586021
2016-04-01,59365.21860672043
2016-05-01,59365.21860672043
2016-06-01,59074.531756944445
2016-07-01,58418.64646505376
2016-08-01,59770.04531182796
2016-09-01,60210.01555416667
2016-10-01,60726.84014576043
2016-11-01,61320.02734236111
2016-12-01,62381.22302782258
2017-01-01,66604.35572459678
2017-02-01,68305.61995922618
2017-03-01,67236.67041666666
2017-04-01,61890.587838888896
2017-05-01,60503.31876733871
2017-06-01,59581.64112638889
2017-07-01,57700.69244086021
2017-08-01,59502.66433051075
2017-09-01,61356.63895666666
2017-10-01,62576.733523553165
2017-11-01,62266.692884722215
2017-12-01,63904.46552526882
2018-01-01,66531.77441854839
2018-02-01,66368.78731845238
2018-03-01,68054.36724327957
2018-04-01,63905.44244722222
2018-05-01,59950.944903225805
2018-06-01,59482.35843472222
2018-07-01,59496.55899193548
2018-08-01,60299.15994086021
2018-09-01,61094.494
2018-10-01,63445.88193682796
2018-11-01,63882.44861057024
2018-12-01,65237.996189516125
2019-01-01,66629.4251965457
2019-02-01,69604.38300892858
2019-03-01,66629.4251965457
2019-04-01,65440.90171388889
2019-05-01,62797.83169489248
2019-06-01,60364.33309583334
2019-07-01,59471.253665322576
2019-08-01,60303.51829301076
2019-09-01,63072.18070555556
2019-10-01,65423.34017876344
2019-11-01,65149.717997222215
2019-12-01,65095.35126344086
2020-01-01,68509.54126276882
2020-02-01,68796.66846551724
2020-03-01,66111.53632661291
2020-04-01,57557.27893611111
2020-05-01,57557.27893611111
2020-06-01,57557.27893611111
2020-07-01,59387.61516129032
2020-08-01,60647.69767607527
2020-09-01,65294.46466805555
2020-10-01,66894.39517069892
2020-11-01,64230.93279583333
2020-12-01,66638.26516263442
